id,kind,tender_type,category,title,source_url,source_note,anonymization,updated_at
dp-policy,doc_part,法规通则,其他,落实政府采购政策的要求与证明,https://www.ccgp.gov.cn/zcfg/mofgz/201707/t20170718_8541199.shtml,财政部令第87号第二十条,statute,2026-09-10
dp-prepare,doc_part,法规通则,其他,投标文件编制、报价与保证金,https://www.ccgp.gov.cn/zcfg/mofgz/201707/t20170718_8541199.shtml,财政部令第87号第二十条,statute,2026-09-10
dp-budget,doc_part,法规通则,其他,预算金额与最高限价,https://www.ccgp.gov.cn/zcfg/mofgz/201707/t20170718_8541199.shtml,财政部令第87号第二十条,statute,2026-09-10
dp-spec,doc_part,法规通则,其他,技术规格、数量、服务标准、验收,https://www.ccgp.gov.cn/zcfg/mofgz/201707/t20170718_8541199.shtml,财政部令第87号第二十条,statute,2026-09-10
dp-contract,doc_part,法规通则,其他,拟签订的合同文本,https://www.ccgp.gov.cn/zcfg/mofgz/201707/t20170718_8541199.shtml,财政部令第87号第二十条,statute,2026-09-10
dp-supply,doc_part,法规通则,其他,货物或服务提供的时间地点方式,https://www.ccgp.gov.cn/zcfg/mofgz/201707/t20170718_8541199.shtml,财政部令第87号第二十条,statute,2026-09-10
dp-pay,doc_part,法规通则,其他,采购资金支付方式、时间、条件,https://www.ccgp.gov.cn/zcfg/mofgz/201707/t20170718_8541199.shtml,财政部令第87号第二十条,statute,2026-09-10
dp-method,doc_part,法规通则,其他,评标方法、评标标准和投标无效情形,https://www.ccgp.gov.cn/zcfg/mofgz/201707/t20170718_8541199.shtml,财政部令第87号第二十条,statute,2026-09-10
dp-validity,doc_part,法规通则,其他,投标有效期,https://www.ccgp.gov.cn/zcfg/mofgz/201707/t20170718_8541199.shtml,财政部令第87号第二十条,statute,2026-09-10
dp-deadline,doc_part,法规通则,其他,投标截止、开标时间及地点,https://www.ccgp.gov.cn/zcfg/mofgz/201707/t20170718_8541199.shtml,财政部令第87号第二十条,statute,2026-09-10
dp-credit,doc_part,法规通则,其他,信用信息查询规则,https://www.ccgp.gov.cn/zcfg/mofgz/201707/t20170718_8541199.shtml,财政部令第87号第二十条,statute,2026-09-10
dp-bidlaw-19,doc_part,工程,其他,招标文件应包括技术要求、资格标准、报价要求、评标标准,http://npc.people.com.cn/n1/2018/0105/c14576-29747940.html,招标投标法第十九条,statute,2026-09-10
dp-gpl-impl-file,doc_part,法规通则,其他,招标文件应载明采购需求、资格条件、评标方法与合同文本,https://www.ccgp.gov.cn/zcfg/mof/201502/t20150227_5029424.shtml,政府采购法实施条例第三十二条,statute,2026-09-10
ch-demand,chapter,货物,技术,编制依据与需求理解,https://www.ccgp.gov.cn/zcfg/mofgz/201707/t20170718_8541199.shtml,财政部令第87号第二十条,statute,2026-09-10
ch-overall,chapter,信息化,技术,总体技术方案 / 方案设计,https://www.ccgp.gov.cn/llsw/202009/t20200915_15070380.htm,中国政府采购网理论实务，2020-09-15,public-notice,2026-09-10
ch-impl,chapter,法规通则,技术,项目实施计划,https://www.ccgp.gov.cn/llsw/202009/t20200915_15070380.htm,中国政府采购网理论实务，2020-09-15,public-notice,2026-09-10
ch-qa,chapter,法规通则,技术,质量保证措施,https://www.ccgp.gov.cn/llsw/202009/t20200915_15070380.htm,中国政府采购网理论实务，2020-09-15,public-notice,2026-09-10
ch-staff,chapter,法规通则,商务,专业能力与人员,https://www.ccgp.gov.cn/llsw/202009/t20200915_15070380.htm,中国政府采购网理论实务，2020-09-15,public-notice,2026-09-10
ch-aftersale,chapter,法规通则,服务,售后与服务方案,https://www.ccgp.gov.cn/zcfg/mofgz/201707/t20170718_8541199.shtml,财政部令第87号第五十五条,statute,2026-09-10
ch-accept,chapter,货物,技术,交货安装调试验收,https://www.ccgp.gov.cn/llsw/202009/t20200915_15070380.htm,中国政府采购网理论实务，2020-09-15,public-notice,2026-09-10
sm-two-methods,notice_score_row,法规通则,其他,评标方法分为最低评标价法和综合评分法,https://www.ccgp.gov.cn/zcfg/mof/201502/t20150227_5029424.shtml,政府采购法实施条例第三十四条,statute,2026-09-10
sm-lowest,notice_score_row,法规通则,价格,最低评标价法,https://www.ccgp.gov.cn/zcfg/mof/201502/t20150227_5029424.shtml,政府采购法实施条例第三十四条,statute,2026-09-10
sm-comprehensive,notice_score_row,法规通则,其他,综合评分法,https://www.ccgp.gov.cn/zcfg/mof/201502/t20150227_5029424.shtml,政府采购法实施条例第三十四条,statute,2026-09-10
sm-unified-lowest,notice_score_row,货物,价格,技术、服务等标准统一的项目应当采用最低评标价法,https://www.ccgp.gov.cn/zcfg/mof/201502/t20150227_5029424.shtml,政府采购法实施条例第三十四条,statute,2026-09-10
ind-goods-price,notice_score_row,货物,价格,货物项目价格分不低于总分的30%,https://www.ccgp.gov.cn/zcfg/mofgz/201707/t20170718_8541199.shtml,财政部令第87号第五十五条,statute,2026-09-10
ind-service-price,notice_score_row,服务,价格,服务项目价格分不低于总分的10%,https://www.ccgp.gov.cn/zcfg/mofgz/201707/t20170718_8541199.shtml,财政部令第87号第五十五条,statute,2026-09-10
ind-goods-tech,notice_score_row,货物,技术,货物技术分常落到参数与交货安装验收,https://www.ccgp.gov.cn/llsw/202009/t20200915_15070380.htm,中国政府采购网理论实务，2020-09-15,public-notice,2026-09-10
ind-service-factors,notice_score_row,服务,服务,服务类常落到流程、维修、人员与培训,https://www.ccgp.gov.cn/llsw/202009/t20200915_15070380.htm,中国政府采购网理论实务，2020-09-15,public-notice,2026-09-10
sm-quant-map,notice_score_row,法规通则,其他,分值设置须与评审因素的量化指标相对应,https://www.ccgp.gov.cn/zcfg/mof/201502/t20150227_5029424.shtml,政府采购法实施条例第三十四条,statute,2026-09-10
sm-interval,notice_score_row,法规通则,其他,评审因素应细化量化并对应商务条件与采购需求,https://www.ccgp.gov.cn/zcfg/mofgz/201707/t20170718_8541199.shtml,财政部令第87号第五十五条,statute,2026-09-10
fw-price-first,notice_score_row,法规通则,价格,框架协议第一阶段可用价格优先法,https://www.ccgp.gov.cn/zcfg/mofgz/202201/t20220127_17561525.htm,财政部令第110号第二十五条,statute,2026-09-10
fw-quality-first,notice_score_row,法规通则,技术,框架协议第一阶段可用质量优先法,https://www.ccgp.gov.cn/zcfg/mofgz/202201/t20220127_17561525.htm,财政部令第110号第二十五条,statute,2026-09-10
fw-goods-quality,score_category,货物,技术,框架协议货物质量因素：技术水平、产品配置、售后服务,https://www.ccgp.gov.cn/zcfg/mofgz/202201/t20220127_17561525.htm,财政部令第110号第二十五条,statute,2026-09-10
fw-service-quality,score_category,服务,服务,框架协议服务质量因素：内容、水平、履约能力、服务经验,https://www.ccgp.gov.cn/zcfg/mofgz/202201/t20220127_17561525.htm,财政部令第110号第二十五条,statute,2026-09-10
fw-quant-vs-must,score_category,法规通则,符合性,可量化质量因素作评分项，其他作实质性要求,https://www.ccgp.gov.cn/zcfg/mofgz/202201/t20220127_17561525.htm,财政部令第110号第二十五条,statute,2026-09-10
fw-default-price-first,notice_score_row,法规通则,价格,除政府定价和特殊仪器外，框架协议应当用价格优先法,https://www.ccgp.gov.cn/zcfg/mofgz/202201/t20220127_17561525.htm,财政部令第110号第二十五条,statute,2026-09-10
fw-no-custom-sku,rejection_rule,货物,符合性,框架协议响应不得是专供政府采购的规格型号,https://www.ccgp.gov.cn/zcfg/mofgz/202201/t20220127_17561525.htm,财政部令第110号第二十四条,statute,2026-09-10
dp-framework-file,doc_part,法规通则,其他,框架协议征集文件应写明入围方法、淘汰率或数量上限、无效情形,https://www.ccgp.gov.cn/zcfg/mofgz/202201/t20220127_17561525.htm,财政部令第110号第二十三条,statute,2026-09-10
innov-two-stages,notice_score_row,信息化,其他,合作创新采购分为订购和首购两个阶段,https://www.ccgp.gov.cn/zcfg/mof/202404/t20240426_21937284.htm,合作创新采购方式管理暂行办法第二条,statute,2026-09-10
innov-rd-50,score_category,信息化,技术,研发竞争性谈判：研发方案分值不低于总分50%,https://www.ccgp.gov.cn/zcfg/mof/202404/t20240426_21937284.htm,合作创新采购方式管理暂行办法,statute,2026-09-10
innov-factors,score_category,信息化,技术,合作创新评审因素：研发方案、成本补偿与首购报价、完成时间、售后方案,https://www.ccgp.gov.cn/zcfg/mof/202404/t20240426_21937284.htm,合作创新采购方式管理暂行办法,statute,2026-09-10
ch-innov-rd,chapter,信息化,技术,研发方案,https://www.ccgp.gov.cn/zcfg/mof/202404/t20240426_21937284.htm,合作创新采购方式管理暂行办法第二十条,statute,2026-09-10
ch-innov-aftersale,chapter,信息化,服务,创新产品的售后服务方案,https://www.ccgp.gov.cn/zcfg/mof/202404/t20240426_21937284.htm,合作创新采购方式管理暂行办法第二十条,statute,2026-09-10
dp-innov-response,doc_part,信息化,其他,合作创新响应文件还应包括研发完成时间、分项报价、验收标准、知识产权,https://www.ccgp.gov.cn/zcfg/mof/202404/t20240426_21937284.htm,合作创新采购方式管理暂行办法第二十条,statute,2026-09-10
sm-consult-def,notice_score_row,法规通则,其他,竞争性磋商采用综合评分法,https://www.ccgp.gov.cn/zcfg/mof/201501/t20150121_4942852.htm,财库〔2014〕214号第二十四条前,statute,2026-09-10
sm-consult-goods-price,notice_score_row,货物,价格,竞争性磋商货物价格分权值 30%—60%,https://www.ccgp.gov.cn/zcfg/mof/201501/t20150121_4942852.htm,财库〔2014〕214号第二十四条,statute,2026-09-10
sm-consult-service-price,notice_score_row,服务,价格,竞争性磋商服务价格分权值 10%—30%,https://www.ccgp.gov.cn/zcfg/mof/201501/t20150121_4942852.htm,财库〔2014〕214号第二十四条,statute,2026-09-10
sm-consult-no-extra,rejection_rule,法规通则,符合性,磋商文件没有规定的评审标准不得作为依据,https://www.ccgp.gov.cn/zcfg/mof/201501/t20150121_4942852.htm,财库〔2014〕214号第二十四条,statute,2026-09-10
egov-must-score,notice_score_row,信息化,其他,政务信息系统招标应当采用综合评分法,http://www.ccgp.gov.cn/zcfg/mof/201801/t20180102_9425012.htm,财库〔2017〕210号第九条,statute,2026-09-10
egov-goods-30,notice_score_row,信息化,价格,政务信息系统货物价格分固定为总分的30%,http://www.ccgp.gov.cn/zcfg/mof/201801/t20180102_9425012.htm,财库〔2017〕210号第九条,statute,2026-09-10
egov-service-10,notice_score_row,信息化,价格,政务信息系统服务价格分固定为总分的10%,http://www.ccgp.gov.cn/zcfg/mof/201801/t20180102_9425012.htm,财库〔2017〕210号第九条,statute,2026-09-10
egov-attr,notice_score_row,信息化,其他,政务信息系统属性不明时由采购人按有利于实施原则确定,http://www.ccgp.gov.cn/zcfg/mof/201801/t20180102_9425012.htm,财库〔2017〕210号第九条,statute,2026-09-10
rr-egov-low-price,rejection_rule,信息化,价格,政务信息系统明显低价不能证明合理性的，作无效投标或无效响应,http://www.ccgp.gov.cn/zcfg/mof/201801/t20180102_9425012.htm,财库〔2017〕210号第十一条,statute,2026-09-10
ch-egov-crypto,chapter,信息化,技术,密码保障与安全审查,http://www.ccgp.gov.cn/zcfg/mof/201801/t20180102_9425012.htm,财库〔2017〕210号第八条,statute,2026-09-10
ch-egov-share,chapter,信息化,技术,数据共享与系统整合,http://www.ccgp.gov.cn/zcfg/mof/201801/t20180102_9425012.htm,财库〔2017〕210号第六条,statute,2026-09-10
dp-egov-accept,doc_part,信息化,其他,政务信息系统采购需求应写明履约验收方案,http://www.ccgp.gov.cn/zcfg/mof/201801/t20180102_9425012.htm,财库〔2017〕210号第四条,statute,2026-09-10
rr-no-format-reject,rejection_rule,法规通则,符合性,不得因装订、纸张、文件排序等非实质性格式问题限制投标,https://www.ccgp.gov.cn/specialtopic/yhzcyshj/bwxd/201908/t20190812_12658024.htm,财库〔2019〕38号,statute,2026-09-10
rr-no-year-gate,rejection_rule,资格,资格,不得设置成立年限等门槛限制供应商参加,https://www.ccgp.gov.cn/specialtopic/yhzcyshj/bwxd/201908/t20190812_12658024.htm,财库〔2019〕38号第一条第（四）项,statute,2026-09-10
rr-no-local-branch,rejection_rule,资格,资格,不得要求设立分支机构作为进入市场的障碍,https://www.ccgp.gov.cn/specialtopic/yhzcyshj/bwxd/201908/t20190812_12658024.htm,财库〔2019〕38号第一条第（三）项,statute,2026-09-10
sc-no-size-score,score_category,法规通则,资格,不得将注册资本、资产总额、营业收入、从业人员、利润、纳税额、经营年限作为评审因素,https://www.ccgp.gov.cn/llsw/202604/t20260428_26467654.htm,中国政府采购网理论实务，2026-04-28,public-notice,2026-09-10
sc-sme-price-vs-qual,score_category,法规通则,价格,未专门预留的中小企业项目：价格评审优惠是评审因素，不是资格条件,https://www.ccgp.gov.cn/llsw/202604/t20260428_26467654.htm,中国政府采购网理论实务，2026-04-28,public-notice,2026-09-10
sc-green-priority,score_category,货物,其他,节能和环境标志产品的强制或优先采购可纳入评审因素,https://www.ccgp.gov.cn/llsw/202604/t20260428_26467654.htm,中国政府采购网理论实务，2026-04-28,public-notice,2026-09-10
sc-no-local-award,score_category,法规通则,商务,不得以特定行政区域或特定行业业绩、奖项作为加分或中标条件,https://www.ccgp.gov.cn/llsw/202604/t20260428_26467654.htm,中国政府采购网理论实务，2026-04-28,public-notice,2026-09-10
sc-patent-agency,score_category,服务,技术,专利商标代理服务：代理服务方案、质量管理保障、人员专业能力,https://www.ccgp.gov.cn/llsw/202604/t20260428_26467654.htm,中国政府采购网理论实务，2026-04-28,public-notice,2026-09-10
sm-consult-also,notice_score_row,法规通则,其他,综合评分法也适用于竞争性磋商、框架协议和合作创新采购,https://www.ccgp.gov.cn/llsw/202511/t20251112_25678095.htm,中国政府采购网理论实务，2025-11-12,public-notice,2026-09-10
sc-no-qual-as-score,score_category,法规通则,资格,资格审查证明材料和符合性实质性指标不得作为评分项,https://www.ccgp.gov.cn/llsw/202511/t20251112_25678095.htm,中国政府采购网理论实务，2025-11-12,public-notice,2026-09-10
sc-unquant-as-must,score_category,法规通则,符合性,客观但不可量化的指标应作实质性要求，不得评分,https://www.ccgp.gov.cn/llsw/202511/t20251112_25678095.htm,中国政府采购网理论实务，2025-11-12,public-notice,2026-09-10
sc-no-local-tax,score_category,法规通则,商务,与采购需求无直接关联的因素（如本地纳税额）不得作为评审因素,https://www.ccgp.gov.cn/llsw/202511/t20251112_25678095.htm,中国政府采购网理论实务，2025-11-12,public-notice,2026-09-10
sc-lifecycle-cost,score_category,法规通则,价格,价格因素应包括全生命周期成本并明确分值和权重,https://www.ccgp.gov.cn/llsw/202511/t20251112_25678095.htm,中国政府采购网理论实务，2025-11-12,public-notice,2026-09-10
sm-score-not-deduct,notice_score_row,法规通则,技术,优于量化指标按对应分计分，达不到不计分而不是扣分,https://www.ccgp.gov.cn/llsw/202511/t20251112_25678095.htm,中国政府采购网理论实务，2025-11-12,public-notice,2026-09-10
sm-score-not-accept,notice_score_row,法规通则,其他,综合评分是形式评审，不能代替验收,https://www.ccgp.gov.cn/llsw/202511/t20251112_25678095.htm,中国政府采购网理论实务，2025-11-12,public-notice,2026-09-10
rr-format-not-legal-reject,rejection_rule,法规通则,符合性,法律法规没有对“格式性要求”给出废标定义,https://www.ccgp.gov.cn/llsw/202505/t20250509_24565317.htm,中国政府采购网理论实务，2025-05-09,public-notice,2026-09-10
rr-e-format,rejection_rule,法规通则,符合性,电子标里扫描清晰度、PDF分层、电子签章位置成为新的格式争议点,https://www.ccgp.gov.cn/llsw/202505/t20250509_24565317.htm,中国政府采购网理论实务，2025-05-09,public-notice,2026-09-10
dp-star-must,doc_part,法规通则,其他,实质性条款应以醒目方式标明,https://www.ccgp.gov.cn/llsw/202505/t20250509_24565317.htm,中国政府采购网理论实务，2025-05-09,public-notice,2026-09-10
sm-no-cap-deduct,notice_score_row,法规通则,技术,技术分“不设扣分上限”会出现负分，不符合分值与指标对应,https://www.ccgp.gov.cn/llsw/202603/t20260324_26305325.htm,中国政府采购网理论实务，2026-03-24,public-notice,2026-09-10
sm-no-deduct-to-zero,notice_score_row,法规通则,技术,“每负偏离一项扣分，扣完为止”不符合分值与量化指标一一对应,https://www.ccgp.gov.cn/llsw/202603/t20260324_26305325.htm,中国政府采购网理论实务，2026-03-24,public-notice,2026-09-10
sc-core-as-pass,score_category,法规通则,符合性,必须满足的核心要求应设为符合性条件，而不是全部拿去赋分,https://www.ccgp.gov.cn/llsw/202603/t20260324_26305325.htm,中国政府采购网理论实务，2026-03-24,public-notice,2026-09-10
rr-wps-not-enough,rejection_rule,法规通则,符合性,仅同一WPS账户不能单独认定为围标串标,https://www.ccgp.gov.cn/llsw/202502/t20250225_24208832.htm,中国政府采购网理论实务，2025-02-25,public-notice,2026-09-10
rr-same-author,rejection_rule,法规通则,符合性,不同投标人的投标文件由同一单位或者个人编制，视为串通，投标无效,https://www.ccgp.gov.cn/zcfg/mofgz/201707/t20170718_8541199.shtml,财政部令第87号第三十七条,statute,2026-09-10
rr-same-agent,rejection_rule,法规通则,符合性,不同投标人委托同一单位或个人办理投标事宜，视为串通,https://www.ccgp.gov.cn/zcfg/mofgz/201707/t20170718_8541199.shtml,财政部令第87号第三十七条,statute,2026-09-10
rr-same-pm,rejection_rule,法规通则,符合性,不同投标人载明的项目管理成员或联系人为同一人，视为串通,https://www.ccgp.gov.cn/zcfg/mofgz/201707/t20170718_8541199.shtml,财政部令第87号第三十七条,statute,2026-09-10
rr-pattern-price,rejection_rule,法规通则,价格,投标文件异常一致或报价呈规律性差异，视为串通,https://www.ccgp.gov.cn/zcfg/mofgz/201707/t20170718_8541199.shtml,财政部令第87号第三十七条,statute,2026-09-10
rr-mixed-files,rejection_rule,法规通则,符合性,不同投标人的投标文件相互混装，视为串通,https://www.ccgp.gov.cn/zcfg/mofgz/201707/t20170718_8541199.shtml,财政部令第87号第三十七条,statute,2026-09-10
rr-same-bond,rejection_rule,法规通则,符合性,投标保证金从同一单位或个人账户转出，视为串通,https://www.ccgp.gov.cn/zcfg/mofgz/201707/t20170718_8541199.shtml,财政部令第87号第三十七条,statute,2026-09-10
sc-vague-words,score_category,法规通则,技术,“细致、完备”“周到”“一般”不能作为评分等次,https://www.ccgp.gov.cn/llsw/202201/t20220118_17531138.htm,中国政府采购网理论实务，2022-01-18,public-notice,2026-09-10
sc-split-quant,score_category,服务,服务,主观服务分可拆成交付期、质保期、培训方案、验收标准响应,https://www.ccgp.gov.cn/llsw/202201/t20220118_17531138.htm,中国政府采购网理论实务，2022-01-18,public-notice,2026-09-10
a33-four-wrongs,rejection_rule,法规通则,符合性,2024—2026年重点整治：差别歧视条款、代理乱收费、虚假材料、围标串标,https://www.ccgp.gov.cn/zcfg/gwywj/202407/t20240709_22583066.htm,国办发〔2024〕33号,statute,2026-09-10
a33-order-firstbuy,notice_score_row,信息化,其他,支持创新：强制采购、优先采购、订购首购、发布需求标准,https://www.ccgp.gov.cn/zcfg/gwywj/202407/t20240709_22583066.htm,国办发〔2024〕33号,statute,2026-09-10
a33-sme-40,notice_score_row,工程,其他,适用招标投标法的政采工程：适宜由中小企业提供的，预留份额40%以上延续至2026年底,https://www.ccgp.gov.cn/zcfg/gwywj/202407/t20240709_22583066.htm,国办发〔2024〕33号,statute,2026-09-10
a33-green-force,score_category,货物,其他,对获得绿色产品认证或符合绿色采购需求标准的产品实施优先或强制采购,https://www.ccgp.gov.cn/zcfg/gwywj/202407/t20240709_22583066.htm,国办发〔2024〕33号,statute,2026-09-10
dp-standard-text,doc_part,法规通则,其他,将制定货物、工程、服务招标文件标准文本和合同标准文本,https://www.ccgp.gov.cn/zcfg/gwywj/202407/t20240709_22583066.htm,国办发〔2024〕33号,statute,2026-09-10
